total_frames,valid_frames,processed_fps,model_path,tracker_yaml,img_size,det_conf,device
404,404,22.6,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolo11n-pose.pt,botsort.yaml,640,0.25,cpu
348,348,22.56,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolo11n-pose.pt,botsort.yaml,640,0.25,cpu
437,399,22.68,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolo11n-pose.pt,botsort.yaml,640,0.25,cpu
335,335,22.97,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolo11n-pose.pt,botsort.yaml,640,0.25,cpu
341,341,23.69,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolo11n-pose.pt,botsort.yaml,640,0.25,cpu
286,286,23.67,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolo11n-pose.pt,botsort.yaml,640,0.25,cpu
320,320,23.8,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolo11n-pose.pt,botsort.yaml,640,0.25,cpu
881,881,24.13,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolo11n-pose.pt,botsort.yaml,640,0.25,cpu
379,379,24.23,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolo11n-pose.pt,botsort.yaml,640,0.25,cpu
441,441,24.09,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolo11n-pose.pt,botsort.yaml,640,0.25,cpu
393,393,7.68,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,botsort.yaml,640,0.25,cpu
356,356,7.72,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,botsort.yaml,640,0.25,cpu
326,325,7.54,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,botsort.yaml,640,0.25,cpu
352,351,7.13,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,botsort.yaml,640,0.25,cpu
386,366,7.32,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,botsort.yaml,640,0.25,cpu
404,404,7.23,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,botsort.yaml,640,0.25,cpu
348,338,7.21,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,botsort.yaml,640,0.25,cpu
437,347,7.34,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,botsort.yaml,640,0.25,cpu
335,335,7.37,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,botsort.yaml,640,0.25,cpu
341,341,7.19,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,botsort.yaml,640,0.25,cpu
286,286,7.25,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,botsort.yaml,640,0.25,cpu
320,320,7.41,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,botsort.yaml,640,0.25,cpu
881,881,7.19,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,botsort.yaml,640,0.25,cpu
379,379,7.19,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,botsort.yaml,640,0.25,cpu
441,441,6.42,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,botsort.yaml,640,0.25,cpu
393,393,22.95,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolov8n-pose.pt,bytetrack.yaml,640,0.25,cpu
356,356,25.24,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolov8n-pose.pt,bytetrack.yaml,640,0.25,cpu
326,326,25.45,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolov8n-pose.pt,bytetrack.yaml,640,0.25,cpu
352,352,25.47,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolov8n-pose.pt,bytetrack.yaml,640,0.25,cpu
386,386,25.31,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolov8n-pose.pt,bytetrack.yaml,640,0.25,cpu
404,404,25.57,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolov8n-pose.pt,bytetrack.yaml,640,0.25,cpu
348,348,25.45,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolov8n-pose.pt,bytetrack.yaml,640,0.25,cpu
437,427,25.45,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolov8n-pose.pt,bytetrack.yaml,640,0.25,cpu
335,335,25.43,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolov8n-pose.pt,bytetrack.yaml,640,0.25,cpu
341,341,25.51,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolov8n-pose.pt,bytetrack.yaml,640,0.25,cpu
286,286,25.46,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolov8n-pose.pt,bytetrack.yaml,640,0.25,cpu
320,320,25.55,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolov8n-pose.pt,bytetrack.yaml,640,0.25,cpu
881,881,25.52,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolov8n-pose.pt,bytetrack.yaml,640,0.25,cpu
379,379,25.36,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolov8n-pose.pt,bytetrack.yaml,640,0.25,cpu
441,441,25.3,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolov8n-pose.pt,bytetrack.yaml,640,0.25,cpu
393,393,7.39,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,bytetrack.yaml,640,0.25,cpu
356,356,7.1,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,bytetrack.yaml,640,0.25,cpu
326,325,7.05,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,bytetrack.yaml,640,0.25,cpu
352,351,7.16,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,bytetrack.yaml,640,0.25,cpu
386,366,7.18,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,bytetrack.yaml,640,0.25,cpu
404,404,7.25,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,bytetrack.yaml,640,0.25,cpu
348,338,6.85,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,bytetrack.yaml,640,0.25,cpu
437,347,6.98,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,bytetrack.yaml,640,0.25,cpu
335,335,6.93,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,bytetrack.yaml,640,0.25,cpu
341,341,7.56,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,bytetrack.yaml,640,0.25,cpu
286,286,7.7,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,bytetrack.yaml,640,0.25,cpu
320,320,7.74,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,bytetrack.yaml,640,0.25,cpu
881,881,7.68,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,bytetrack.yaml,640,0.25,cpu
379,379,7.2,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,bytetrack.yaml,640,0.25,cpu
441,441,7.19,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,bytetrack.yaml,640,0.25,cpu
393,393,22.66,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolov8n-pose.pt,botsort.yaml,640,0.25,cpu
356,356,23.71,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolov8n-pose.pt,botsort.yaml,640,0.25,cpu
326,326,22.41,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolov8n-pose.pt,botsort.yaml,640,0.25,cpu
352,352,22.51,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolov8n-pose.pt,botsort.yaml,640,0.25,cpu
386,386,24.98,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolov8n-pose.pt,botsort.yaml,640,0.25,cpu
404,404,23.99,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolov8n-pose.pt,botsort.yaml,640,0.25,cpu
348,348,23.75,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolov8n-pose.pt,botsort.yaml,640,0.25,cpu
437,427,24.2,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolov8n-pose.pt,botsort.yaml,640,0.25,cpu
335,335,24.51,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolov8n-pose.pt,botsort.yaml,640,0.25,cpu
341,341,25.06,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolov8n-pose.pt,botsort.yaml,640,0.25,cpu
286,286,24.78,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolov8n-pose.pt,botsort.yaml,640,0.25,cpu
320,320,23.54,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolov8n-pose.pt,botsort.yaml,640,0.25,cpu
881,881,23.95,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolov8n-pose.pt,botsort.yaml,640,0.25,cpu
379,379,21.75,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolov8n-pose.pt,botsort.yaml,640,0.25,cpu
441,441,24.62,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolov8n-pose.pt,botsort.yaml,640,0.25,cpu
393,393,7.29,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,botsort.yaml,640,0.25,cpu
356,356,7.38,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,botsort.yaml,640,0.25,cpu
326,325,7.34,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,botsort.yaml,640,0.25,cpu
352,351,7.4,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,botsort.yaml,640,0.25,cpu
386,366,7.29,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,botsort.yaml,640,0.25,cpu
404,404,7.49,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,botsort.yaml,640,0.25,cpu
348,338,7.36,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,botsort.yaml,640,0.25,cpu
437,347,7.34,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,botsort.yaml,640,0.25,cpu
335,335,7.52,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,botsort.yaml,640,0.25,cpu
341,341,7.45,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,botsort.yaml,640,0.25,cpu
286,286,7.36,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,botsort.yaml,640,0.25,cpu
320,320,7.42,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,botsort.yaml,640,0.25,cpu
881,881,7.67,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,botsort.yaml,640,0.25,cpu
379,379,7.73,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,botsort.yaml,640,0.25,cpu
441,441,7.74,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,botsort.yaml,640,0.25,cpu
