target,n,accuracy,recall,f1
helmet,30226,0.6805399325084365,0.7296882627798312,0.6842587142763716
vest,34712,0.8834985019589767,0.9884974838245866,0.7727323817016972
part,38562,0.8671749390591774,0.8671749390591774,0.9288630871364685
